symbol,date,price
CADCHF,apr 2013,9846
CADCHF,may 2013,10224
CADCHF,jun 2013,10705
CADCHF,jul 2013,10653
CADCHF,aug 2013,10766
CADCHF,sep 2013,10352
CADCHF,oct 2013,10362
CADCHF,nov 2013,10118
CADCHF,dec 2013,10843
CADCHF,jan 2014,10891
CADCHF,feb 2014,10229
CADCHF,mar 2014,10556
CADCHF,apr 2014,10436
CADCHF,may 2014,10994
CADCHF,jun 2014,10994
CADCHF,jul 2014,11494
CADCHF,aug 2014,11170
CADCHF,sep 2014,11205
CADCHF,oct 2014,11564
CADCHF,nov 2014,11764
NZDJPY,apr 2013,9939
NZDJPY,may 2013,9918
NZDJPY,jun 2013,10535
NZDJPY,jul 2013,11188
NZDJPY,aug 2013,11917
NZDJPY,sep 2013,11690
NZDJPY,oct 2013,11873
NZDJPY,nov 2013,11363
NZDJPY,dec 2013,10984
NZDJPY,jan 2014,11480
NZDJPY,feb 2014,11315
NZDJPY,mar 2014,11745
NZDJPY,apr 2014,11683
NZDJPY,may 2014,11608
NZDJPY,jun 2014,11716
NZDJPY,jul 2014,12516
NZDJPY,aug 2014,12307
NZDJPY,sep 2014,12774
NZDJPY,oct 2014,12774
NZDJPY,nov 2014,12774
EURCHF,apr 2013,9939
EURCHF,may 2013,9918
EURCHF,jun 2013,10535
EURCHF,jul 2013,11188
EURCHF,aug 2013,11917
EURCHF,sep 2013,11690
EURCHF,oct 2013,11873
EURCHF,nov 2013,11363
EURCHF,dec 2013,10984
EURCHF,jan 2014,11480
EURCHF,feb 2014,11315
EURCHF,mar 2014,10041
EURCHF,apr 2014,10091
EURCHF,may 2014,10143
EURCHF,jun 2014,10159
EURCHF,jul 2014,10106
EURCHF,aug 2014,10161
EURCHF,sep 2014,10101
EURCHF,oct 2014,10101
EURCHF,nov 2014,10201
GBPCHF,apr 2013,11654
GBPCHF,may 2013,11586
GBPCHF,jun 2013,11009
GBPCHF,jul 2013,10609
GBPCHF,aug 2013,10092
GBPCHF,sep 2013,10375
GBPCHF,oct 2013,9801
GBPCHF,nov 2013,11321
GBPCHF,dec 2013,10707
GBPCHF,jan 2014,11272
GBPCHF,feb 2014,10423
GBPCHF,mar 2014,10481
GBPCHF,apr 2014,11158
GBPCHF,may 2014,11851
GBPCHF,jun 2014,12617
GBPCHF,jul 2014,13119
GBPCHF,aug 2014,12508
GBPCHF,sep 2014,12848
GBPCHF,oct 2014,12913
GBPCHF,nov 2014,12213
EURNZD,apr 2013,9716
EURNZD,may 2013,9099
EURNZD,jun 2013,10052
EURNZD,jul 2013,10400
EURNZD,aug 2013,10118
EURNZD,sep 2013,11364
EURNZD,oct 2013,11850
EURNZD,nov 2013,11831
EURNZD,dec 2013,12145
EURNZD,jan 2014,12998
EURNZD,feb 2014,13107
EURNZD,mar 2014,12791
EURNZD,apr 2014,13273
EURNZD,may 2014,13852
EURNZD,jun 2014,12472
EURNZD,jul 2014,12472
EURNZD,aug 2014,13608
EURNZD,sep 2014,15040
EURNZD,oct 2014,15176
EURNZD,nov 2014,14900
USDCHF,apr 2013,13539
USDCHF,may 2013,13924
USDCHF,jun 2013,14485
USDCHF,jul 2013,14800
USDCHF,aug 2013,14608
USDCHF,sep 2013,14464
USDCHF,oct 2013,14109
USDCHF,nov 2013,13737
USDCHF,dec 2013,13359
USDCHF,jan 2014,13251
USDCHF,feb 2014,13014
USDCHF,mar 2014,13014
USDCHF,apr 2014,13004
USDCHF,may 2014,13045
USDCHF,jun 2014,13121
USDCHF,jul 2014,13176
USDCHF,aug 2014,13463
USDCHF,sep 2014,14178
USDCHF,oct 2014,14302
USDCHF,nov 2014,14450